,word,tag
0,Ты,PRON
1,веришь,V
2,в,PR
3,сказочных,ADJ
4,существ,N
5,Лично,ADV
6,знаю,V
7,несколько,PRON
8,сказочных,ADJ
9,долбо*бов,N
10,Блин,INTJ
11,жрать,V
12,так,ADV
13,охота,PRED
14,Мммм,INTJ
15,съешь,V
16,меня,PRON
17,дорогой,N
18,Мне,PRON
19,жирное,N
20,нельзя,PRED
21,Урод,N
22,ненавижу,V
23,тебя,PRON
24,В,PR
25,госпитале,N
26,к,PR
27,выздоравливающему,V
28,сержанту,N
29,подошел,V
30,рядовой,N
31,первого,ADJ
32,класса,N
33,в,PR
34,фартуке,N
35,и,CONJ
36,спросил,V
37,Вы,PRON
38,действительно,ADV
39,штаб-сержант,N
40,Сержант,N
41,с,PR
42,высокомерным,ADJ
43,видом,N
44,кивнул,V
45,Прекрасно,ADV
46,обрадовался,V
47,рядовой,N
48,Уверен,V
49,что,CONJ
50,включение,N
51,вас,PRON
52,в,PR
53,кухонный,ADJ
54,наряд,N
55,придаст,V
56,ему,PRON
57,определенный,ADJ
58,шик,ADJ
59,Я,PRON
60,устрою,V
61,тебе,PRON
62,красивый,ADJ
63,снегопад,N
64,Но,CONJ
65,но,CONJ
66,ты,PRON
67,же,PRCL
68,октябрь,N
69,Я,PRON
70,УСТРОЮ,V
71,ТЕБЕ,PRON
72,КРАСИВЫЙ,ADJ
73,СНЕГОПАД,N
74,Куда,ADVPRO
75,не,PRCL
76,посмотришь,V
77,кругом,ADV
78,одни,ADJ
79,долбодятлы,N
80,Как,ADVPRO
81,жить,V
82,Петрович,N
83,ну,PRCL
84,чего,ADVPRO
85,ты,PRON
86,так,ADV
87,волнуешься,V
88,ты,PRON
89,среди,PR
90,своих,ADJ
91,В,PR
92,борьбе,N
93,бобра,N
94,с,PR
95,ослом,N
96,всегда,ADV
97,побеждает,V
98,бобро,N
99,Мы,PR
100,все,PRCL
101,еще,ADV
102,ждем,V
103,перемен,N
104,а,CONJ
105,школа,N
106,уже,ADV
107,давно,ADV
108,закончилась,V
109,Чтобы,CONJ
110,скрыть,V
111,своё,ADJ
112,пьянство,N
113,возвращаясь,V
114,с,PR
115,рыбалки,N
116,пьяный,ADJ
117,муж,N
118,купил,V
119,огромного,ADJ
120,сома,N
121,Вот,PRCL
122,эта,ADJ
123,свиная,ADJ
124,туша,N
125,его,PRON
126,и,CONJ
127,выдала,V
128,Дырки,N
129,в,PR
130,сыре,N
131,есть,V
132,не,PR
133,обязательно,ADV
134,Замечено,V
135,что,ADVPRO
136,банкоматы,N
137,отечественного,ADJ
138,производства,N
139,работают,V
140,с,PR
141,небольшим,ADJ
142,откатом,N
143,В,PR
144,одесском,ADJ
145,ресторане,N
146,Безобразие,N
147,от,PR
148,этой,ADJ
149,жареной,ADJ
150,скумбрии,N
151,пахнет,V
152,алкоголем,N
153,А,CONJ
154,теперь,ADV
155,мадам,N
156,спрашивает,V
157,официант,N
158,отойдя,V
159,от,PR
160,стола,N
161,на,PR
162,два,NUM
163,шага,N
164,Всегда,ADV
165,задумывался,V
166,почему,ADVPRO
167,гаишники,N
168,подходят,V
169,ко,PR
170,мне,PRON
171,с,PR
172,подветренной,ADJ
173,стороны,N
174,Теперь,ADV
175,понял,V
176,они,PRON
177,хищники,N
178,Ужин,N
179,куриное,ADJ
180,филе,N
181,с,PR
182,шампиньонами,N
183,луком,N
184,и,CONJ
185,томатами,N
186,тушенное,V
187,в,PR
188,красном,ADJ
189,вине,N
190,с,PR
191,добавлением,N
192,рагу,N
193,из,PR
194,баклажанов,N
195,Муж,N
196,начинает,V
197,молча,ADV
198,поглощать,V
199,еду,N
200,Жена,N
201,укоризненно,ADV
202,Дорогой,N
203,ты,PRON
204,бы,PRCL
205,похвалил,V
206,что,ADVPRO
207,ли,PRCL
208,ужин,N
209,Муж,N
210,внимательно,ADV
211,смотрит,V
212,в,PR
213,тарелку,N
214,и,CONJ
215,нежно,ADV
216,произносит,V
217,Ужин,N
218,ты,PRON
219,такой,ADJ
220,вкусный,ADJ
221,Две,NUM
222,недели,N
223,лупил,V
224,кота,N
225,за,PR
226,лужу,N
227,в,PR
228,туалете,N
229,а,CONJ
230,оказалось,V
231,бачок,N
232,протекает,V
233,Правильно,ADV
234,а,CONJ
235,что,ADVPRO
236,он,PRON
237,его,PRON
238,не,PRCL
239,починил,V
240,то,PRCL
241,Чем,ADVPRO
242,увлекаешься,V
243,Разведением,N
244,хомячков,N
245,Блогер,N
246,что,ADVPRO
247,ли,PRCL